name;year;union_budget;resp_budgets;local_budgets;total_budget
I. Народное хозяйство;;;;;
;1937;37026;2307,9;4079,2;43413,1
;1938;44629,3;2423,1;4671,2;51723,6
;1939;51513,4;3842,2;5060,9;60416,5
;1940;49871,2;3428,8;4963,6;58263,6
1. Промышленность;;;;;
;1937;15444;619,9;679;16742,9
;1938;22231,2;766,1;619,2;23616,5
;1939;28927,5;1436,2;748,1;31111,8
;1940;26456,9;1179,1;940,1;28576,1
тяжелая и машиностроительная и отдельные промышленные строительства;;;;;
;1937;12691,3;13,3;20,3;12724,9
;1938;19535,6;101,6;20,3;19641,3
;1939;25761,5;503,9;214,6;26480
;1940;24737,7;554,4;276,6;25568,7
легкая (в том числе текстильная);;;;;
;1937;1732,6;163,9;93,5;1990
;1938;1345,7;107,9;51,2;1504,8
;1939;1136,6;135;75,4;1342
;1940;570,1;116,3;66,7;753,1
пищевая (в том числе, рыбная, мясная и молочная);;;;;
;1937;934,5;135,2;71,6;1141,3
;1938;1281,4;209,3;76,5;1567,2
;1939;1962,4;395,3;106,6;2464,3
;1940;1116;281,9;61,1;1459
местная (в том числе местная топливная);;;;;
;1937;-;-;-;-
;1938;-;321,2;487,4;808,6
;1939;-;394,1;348,7;742,8
;1940;-;210,3;519,3;729,6
кинопромышленность;;;;;
;1937;85,6;34,4;-;120
;1938;68,5;26,1;-;94,6
;1939;72;7,9;2,8;82,7
;1940;33,1;16,2;16,4;65,7
прочая;;;;;
;1937;-;273,1;493,6;766,7
;1938;-;-;-;-
;1939;-;-;-;-
;1940;-;-;-;-
2. Сельское хозяйство;;;;;
;1937;7818,2;1465,8;524,9;9808,9
;1938;9614,2;1369,5;690,5;11674,2
;1939;10737,3;1914,3;980,9;13632,5
;1940;10141,1;1571,8;911,9;12624,8
зерновые и животноводческие совхозы НК совхозов;;;;;
;1937;1110,8;1025,7;-;2136,5
;1938;778,7;977,4;-;1756,1
;1939;897,8;1422,9;-;2320,7
;1940;916;1070,6;6,1;1992,7
мероприятия по НК земледелия;;;;;
;1937;6399,6;440,1;504,5;7344,2
;1938;8570,2;392,1;609,5;9571,8
;1939;9541,1;491,4;860,1;10892,6
;1940;8803,7;315;815,1;9933,8
в том числе МТС;;;;;
;1937;5280,3;-;-;5280,3
;1938;7493,7;-;-;7493,7
;1939;7941,5;-;-;7941,5
;1940;7638,4;-;-;7638,4
лесное хозяйство;;;;;
;1937;302,9;-;16,6;319,5
;1938;265,3;-;77,7;343
;1939;259,6;-;120,8;380,4
;1940;220,8;-;90,7;311,5
водное хозяйство;;;;;
;1937;-;-;3,8;3,8
;1938;-;-;3,3;3,3
;1939;-;-;-;-
;1940;-;186,2;-;186,2
мероприятия по Переселенческому управлению;;;;;
;1937;4,9;-;-;4,9
;1938;-;-;-;-
;1939;38,8;-;-;38,8
;1940;200,6;-;-;200,6
3. Торговля, снабжение и заготовки;;;;;
;1937;2671,7;93;407,3;3172
;1938;2772,6;62,2;309,9;3144,7
;1939;3139,8;131,7;500,9;3772,4
;1940;1860,3;123,1;59,1;2042,5
в том числе внешняя торговля;;;;;
;1937;13,1;-;-;13,1
;1938;13,8;-;-;13,8
;1939;18,4;-;-;18,4
;1940;17,7;-;-;17,7
4. Транспорт;;;;;
;1937;7924,5;-;151,9;8076,4
;1938;6764,2;96,6;182,7;7043,5
;1939;5818,5;268,2;304,7;6391,4
;1940;5944,2;356,4;299,4;6600
железнодорожный;;;;;
;1937;4753,1;-;-;4753,1
;1938;3920,1;-;-;3920,1
;1939;2719,2;-;-;2719,2
;1940;3136,7;-;-;3136,7
в том числе московский метрополитен;;;;;
;1937;423,6;-;-;423,6
;1938;283,1;-;-;283,1
;1939;-;-;-;-
;1940;-;-;-;-
водный;;;;;
;1937;1019,5;-;-;1019,5
;1938;1036,3;-;-;1036,3
;1939;1320,7;-;-;1320,7
;1940;999,5;-;-;999,5
Северный морской путь;;;;;
;1937;511,5;-;-;511,5
;1938;515,8;-;-;515,8
;1939;439,6;-;-;439,6
;1940;306,5;-;-;306,5
канал Москва - Волга;;;;;
;1937;301,6;-;-;301,6
;1938;-;-;-;-
;1939;-;-;-;-
;1940;37,6;-;-;37,6
Волгострой;;;;;
;1937;223,9;-;-;223,9
;1938;-;-;-;-
;1939;-;-;-;-
;1940;-;-;-;-
гражданский воздушный флот;;;;;
;1937;301,5;-;-;301,5
;1938;371,5;-;-;371,5
;1939;409,9;3,1;-;413
;1940;418,9;5,2;18,3;442,4
шоссейные дороги и автомобильный транспорт;;;;;
;1937;813,4;-;151,9;965,3
;1938;920,5;96,6;182,7;1199,8
;1939;929,1;265,1;304,7;1498,9
;1940;;;;
5. Связь;;;;;
;1937;379,6;-;68,3;447,9
;1938;291,1;-;78,2;369,3
;1939;199,2;-;75,3;274,5
;1940;261,1;-;66,2;328,3
6. Коммунальное и жилищное хозяйство;;;;;
;1937;-;88,1;2247,8;2335,9
;1938;-;100,5;2790,7;2891,2
;1939;-;66,4;2446,2;2512,6
;1940;-;95,2;2429,7;2524,9
7. Гидрометеорологическая служба;;;;;
;1937;120,9;-;-;120,9
;1938;165,1;-;-;165,1
;1939;204,8;-;-;204,8
;1940;211,7;-;-;211,7
8. Геодезия и картография;;;;;
;1937;-;-;-;-
;1938;-;-;-;-
;1939;146,8;-;-;146,8
;1940;113,7;-;-;113,7
9. Прочие расходы на финансирование народного хозяйства;;;;;
;1937;2667,1;41,1;-;2708,2
;1938;2790,9;28,2;-;2819,1
;1939;2339,5;25,4;4,8;2369,7
;1940;4881,2;103,2;257,2;5241,6
II. Социально-культурные мероприятия;;;;;
;1937;10621,5;4101,1;16174,1;30896,7
;1938;12204,4;4029,8;19021,8;35256
