name;year;union_budget;resp_budgets;local_budgets;total_budget
;1939;11544,8;6318,5;19565,5;37428,8
;1940;12899,4;6853,5;21150,1;40903
1. Просвещение;;;;;
;1937;3510,3;2771,6;10172,8;16454,7
;1938;4260,7;3102,4;11375,3;18738,4
;1939;4368,4;3339,3;12606,3;20314
;1940;5560,5;3445,6;13482,8;22488,9
а) научные и научно-исследовательские учреждения;;;;;
;1937;435;316,1;101,4;852,5
;1938;549,1;288,3;128,9;966,3
;1939;497,1;322,5;194,2;1013,8
;1940;519,1;376,8;239;1134,9
б)подготовка кадров;;;;;
;1937;2421,5;2002,2;1148,6;5572,3
;1938;2745,7;2165,8;1371,5;6283
;1939;2877,3;2422,9;1509,5;6809,7
;1940;3932,2;2442,2;1335,5;7709,9
высшие учебные заведения и курсы высшей квалификации;;;;;
;1937;1028,8;1318,4;18,1;2365,3
;1938;1399,4;1503,1;27,6;2930,1
;1939;1151,8;1523,7;42,4;2717,9
;1940;1299,6;1542,5;34,7;2876,8
техникумы, рабфаки, специальные средние учебные заведения и курсы по подготовке кадров средней квалификации;;;;;
;1937;735,9;597,6;958,8;2292,3
;1938;616,8;580,2;1145;2342
;1939;493,4;422,5;931,5;1847,4
;1940;484,6;508,5;848;1841,1
подготовка массовых кадров;;;;;
;1937;656,8;86,2;171,7;914,7
;1938;729,5;82,5;198,9;1010,9
;1939;1232,1;476,7;535,6;2244,4
;1940;2148;391,2;452,8;2992
в) школы;;;;;
;1937;336,8;70,8;6074,3;6481,9
;1938;387,1;18,5;7123;7528,6
;1939;337,8;18;7719;8074,8
;1940;352;25,2;8486;8863,2
г) детские сады и площадки и детские дома;;;;;
;1937;-;67,5;1105,7;1173,2
;1938;322,7;122,2;1180,4;1625,3
;1939;384,1;119,1;1345;1848,2
;1940;481,1;155,7;1476,8;2113,6
д) прочие мероприятия по просвещению;;;;;
;1937;317;315;1742,8;2374,8
;1938;256,1;507,6;1571,5;2335,2
;1939;272,1;456,8;1838,6;2567,5
;1940;276,1;445,7;1950,5;2667,3
2. Здравоохранение;;;;;
;1937;928,7;1117,6;4880,8;6927,1
;1938;1047,6;687,5;5854,5;7589,6
;1939;948,4;780,7;6520,1;8249,2
;1940;978,9;777,4;7193,7;8950
лечебные, лечебно-профилактические и санитарно-противоэпидемические учреждения и мероприятия (в том числе противотурберкулезные и детские);;;;;
;1937;800,6;629,7;3370,3;4800,6
;1938;956,1;439,1;3873,9;5269,1
;1939;547,1;581,3;4484,4;5612,8
;1940;591,2;701,4;5074,4;6367
родовспоможение и лечебно-профилактическая помощь детям;;;;;
;1937;-;401,3;1342,9;1744,2
;1938;23,3;162,4;1267,6;1453,3
;1939;121,1;76,6;1838;2035,7
;1940;133,4;42,4;2043,2;2219
прочие учреждения и мероприятия по здравоохранению;;;;;
;1937;128,1;86,6;167,6;382,3
;1938;68,2;86;713;867,2
;1939;280,2;122,8;197,7;600,7
;1940;254,3;33,6;76,1;364
3. Физическая культура;;;;;
;1937;17;21,1;61,3;99,4
;1938;16,2;23,8;38,9;78,9
;1939;12,1;21,7;45;78,8
;1940;14,7;21,5;49,2;85,4
4. Охрана труда и социальное обеспечение;;;;;
;1937;958;190,8;1059,2;2208
;1938;922,2;216,1;1753,1;2891,4
;1939;1106,1;416,2;394,1;1916,4
;1940;1332,4;626,1;;
5. Расходы на социально-культурные мероприятия за счет средств государственного социального страхования;;;;;
;1937;5207,5;-;-;5207,5
;1938;5957,7;-;-;5957,7
;1939;5109,8;1760,6;-;6870,4
;1940;5012,9;1982,9;-;6995,8
III. Государственное управление;;;;;
;1937;1131,6;887;2451,6;4470,2
;1938;1609,6;1304,8;2482,8;5397,2
;1939;2248,8;1422,2;2848,8;6519,8
;1940;2117,2;1573;3151;6841,2
Содержание органов государственного управления;;;;;
;1937;1101,8;761,6;2205,6;4069
;1938;1387,2;1024,5;2482,8;4894,5
;1939;1990,1;1126,9;2848,8;5965,8
;1940;1821;1234;3151;6206
Судебные учреждения, прокуратура и нотариат;;;;;
;1937;29,8;125,4;246;401,2
;1938;222,4;280,3;-;502,7
;1939;258,7;295,3;-;554
;1940;296,2;339;-;635,2
IV. На оборону страны;;;;;
;1937;17481;-;-;17481
;1938;23150,9;-;-;23150,9
;1939;39181,4;-;-;39181,4
;1940;56752;-;-;56752
V. Расходы по государственным займам;;;;;
;1937;3458,3;-;-;3458,3
;1938;1955,3;-;-;1955,3
;1939;2062,4;-;-;2062,4
;1940;2801,9;-;-;2801,9
VI. Прочие расходы;;;;;
;1937;5512,6;217,6;788,8;6519
;1938;6025,2;46,7;484;6555,9
;1939;7134,6;49,7;505,8;7690,1
;1940;7786,5;211,5;790,5;8788,5
Итого расходов;;;;;
;1937;75231;7513,6;23493,7;106238,3
;1938;89574,7;7804,4;26659,8;124038,9
;1939;113685,4;11632,6;27981;153299
;1940;132228,2;12066,8;30055,2;174350,2
