name;year;union_budget;resp_budgets;local_budgets;total_budget
I. Народное хозяйство;;;;;
;1946;92055,6;7474,6;6651,1;106181,3
;1947;113161,2;10600,8;9295,8;133057,8
;1948;129163;11572,8;8821,9;149557,7
;1949;139549,2;12073,9;10313,8;161936,9
;1950;135297,7;12717,7;9615,2;157630,6
1. Промышленность;;;;;
;1946;63962,1;4149,4;1211,3;69322,8
;1947;77211;5821,4;1672,5;84704,9
;1948;86513,5;6058,9;1606,4;94178,8
;1949;75758,3;4459,2;1016,4;81233,9
;1950;73833,3;3597,2;1054;78484,5
тяжелая и машиностроительная и отдельные промышленные строительства;;;;;
;1946;58291;998,4;332,9;59622,3
;1947;59542,4;1780,6;524,8;71847,8
;1948;76323,7;2263,7;593,1;79180,5
;1949;68757,7;1192,6;247,3;70197,6
;1950;67562,7;1080,1;198,3;68841,1
легкая (в том числе текстильная);;;;;
;1946;2536,9;1745,6;234,2;4516,7
;1947;3706,2;2094,3;348,5;6149
;1948;3990,9;2141,1;464,2;6596,2
;1949;1009,2;630;123,3;1762,5
;1950;522,2;446,5;163,7;1132,4
пищевая (в том числе, рыбная, мясная и молочная);;;;;
;1946;3065,5;729;121,1;3915,6
;1947;3890,2;1049,7;188,3;5128,2
;1948;6101,4;929,9;97,1;7128,4
;1949;5698,4;1819,5;123;7640,9
;1950;5505,8;1347,3;121,6;6974,7
местная (в том числе местная топливная);;;;;
;1946;-;561,6;473,7;1035,3
;1947;-;707,5;565,3;1272,8
;1948;-;600,3;407,2;1007,5
;1949;-;472,9;400;872,9
;1950;-;374;397,4;771,4
прочая;;;;;
;1946;68,7;114,8;49,4;232,9
;1947;72,2;189,3;45,6;307,1
;1948;97,5;123,9;44,8;266,2
;1949;293;344,2;122,8;760
;1950;242,6;349,3;173;764,9
2. Сельское хозяйство;;;;;
;1946;9891,4;2099,4;877,4;12868,2
;1947;13025,2;3099,3;1118,1;17242,6
;1948;15184,5;4009,4;1212,4;20406,3
;1949;24005,7;5414,9;1470,7;30891,3
;1950;25317,4;7032,8;1696,3;34046,5
зерновые и животноводческие совхозы НК совхозов;;;;;
;1946;1041,8;863;-;1904,8
;1947;1701,5;1884,7;-;3586,2
;1948;2004,1;1996,2;-;4000,3
;1949;3004,4;3077,4;-;6081,8
;1950;3614,5;3914,9;-;7529,4
мероприятия по министерствам сельского хозяйства;;;;;
;1946;8617,5;889,7;820,8;10328
;1947;10815,3;641,8;1048,8;12505,9
;1948;12897,8;881,9;1203,9;14983,6
;1949;20343,8;907,4;1458,7;22709,9
;1950;20666,3;1392,9;1671,8;23731
в том числе МТС;;;;;
;1946;7131,2;-;-;7131,2
;1947;9185,8;-;-;9185,8
;1948;11153,9;-;-;11153,9
;1949;17177,6;-;-;17177,6
;1950;17522,3;-;-;17522,3
лесное хозяйство;;;;;
;1946;232,1;22,6;44,7;299,4
;1947;508,4;85,7;51,4;645,5
;1948;282,6;625,4;-;908
;1949;657,5;789;-;1446,5
;1950;997,3;995,9;-;1993,2
водное хозяйство;;;;;
;1946;-;182,2;4,3;298,8
;1947;-;286,9;17,9;394,6
;1948;-;376,7;8,5;398,1
;1949;-;547,6;12;559,6
;1950;-;546;25,5;570,5
мероприятия по Переселенческому управлению;;;;;
;1946;-;37,2;-;37,2
;1947;-;110,4;-;110,4
;1948;-;116,3;-;116,3
;1949;-;93,5;-;93,5
;1950;39,3;183,1;-;222,4
3. Торговля, снабжение и заготовки;;;;;
;1946;2656,8;104,6;424,4;3185,8
;1947;3354,3;248,6;761,8;4364,7
;1948;3766,5;71,6;699,5;4537,6
;1949;6904,3;166,1;814,4;7884,8
;1950;9204,7;161,5;767,8;10134
внутренняя торговля;;;;;
;1946;462;104,6;424,4;991
;1947;14,1;248,6;761,8;1024,5
;1948;2,7;71,6;699,5;773,8
;1949;130;166,1;814,4;1110,5
;1950;17,9;161,5;767,8;947,2
внешняя торговля;;;;;
;1946;434,9;-;-;434,9
;1947;1369,8;-;-;1369,8
;1948;1161,2;-;-;1161,2
;1949;3599,9;-;-;3599,9
;1950;6102,8;-;-;6102,8
заготовки;;;;;
;1946;1759,9;-;-;1759,9
;1947;1970,4;-;-;1970,4
;1948;2602,6;-;-;2602,6
;1949;3174,4;-;-;3174,4
;1950;3084;-;-;3084
4. Транспорт;;;;;
;1946;10725,1;388,1;214,9;11328,1
;1947;13405,2;502,3;311,9;14219,4
;1948;15018;641,8;296,1;15955,9
;1949;16531,4;1045,5;640,7;18217,6
;1950;14109,9;881,1;505,4;15496,4
железнодорожный;;;;;
;1946;6520,9;-;-;6520,9
;1947;8661,2;-;-;8661,2
;1948;10289,6;-;-;10289,6
;1949;11053,5;-;-;11053,5
;1950;8882,5;-;-;8882,5
морской;;;;;
;1946;836,5;-;-;836,5
;1947;1119;-;-;1119
;1948;1043;-;-;1043
;1949;1247,6;-;-;1247,6
;1950;1381,4;-;-;1381,4
речной;;;;;
;1946;1263,5;-;-;1263,5
;1947;1577,1;-;-;1577,1
;1948;1865,4;-;-;1865,4
;1949;2078,5;-;-;2078,5
;1950;1760,5;-;-;1760,5
Северный морской путь;;;;;
;1946;522,4;-;-;522,4
;1947;529,1;-;-;529,1
;1948;543,9;-;-;543,9
;1949;734,6;-;-;734,6
;1950;724,4;-;-;724,4
гражданский воздушный флот;;;;;
;1946;496,4;-;-;496,4
;1947;463,5;-;-;463,5
;1948;180,2;-;-;180,2
;1949;555,1;-;-;555,1
;1950;494,5;-;-;494,5
шоссейные дороги и автомобильный транспорт;;;;;
;1946;1085,4;388,1;214,9;1688,4
;1947;1055,3;502,3;311,9;1869,5
;1948;1095,9;641,8;296,1;2033,8
;1949;862,1;1045,5;640,7;2548,3
;1950;866,6;881,1;505,4;2253,1
5. Связь;;;;;
;1946;260,1;-;88,9;349
;1947;213,3;-;117;330,3
;1948;252,9;-;96,6;349,5
;1949;287,5;-;130,8;418,3
;1950;92;11,1;115,7;218,8
6. Коммунальное и жилищное хозяйство;;;;;
;1946;-;374,1;3551,4;3925,5
;1947;-;403,4;4920,6;5324
;1948;-;360,7;4615,2;4975,9
;1949;-;513,1;6055,8;6568,9
;1950;-;441,6;5238,9;5680,5
В том числе по Министерству жилищно-гражданского строительства;;;;;
;1946;-;243,7;51,2;294,9
;1947;-;273,7;56,1;329,8
;1948;-;238,8;42,5;281,3
;1949;-;232,8;70,6;303,4
;1950;-;277,6;93;370,6
7. Гидрометеорологическая служба;;;;;
;1946;241;-;-;241
;1947;301,6;-;-;301,6
;1948;308,9;-;-;308,9
;1949;353,1;-;-;353,1
;1950;371;-;-;371
8. Прочие расходы на финансирование народного хозяйства;;;;;
;1946;4319,1;359;282,8;4960,9
